substation,feeder,existing_rows,blank_consumption,absent_hours,missing_before,imputed,missing_after,missing_percent_before
A,A1,35040,1208,24,1232,1232,0,3.51357517681953
A,A2,35040,562,24,586,586,0,1.6712297513118868
B,B1,35040,605,24,629,629,0,1.793862651152179
B,B2,34944,850,120,970,970,0,2.7663700661647272
B,B3,35040,546,24,570,570,0,1.625598904859685
B,B4,35040,543,24,567,567,0,1.6170431211498972
B,B5,34560,724,504,1228,1228,0,3.5021674652064796
B,B6,35040,587,24,611,611,0,1.742527948893452
C,C1,33720,1137,1344,2481,2084,397,7.075633127994524
C,C2,33720,1483,1344,2827,2434,393,8.062400182523385
D,D1,34800,1938,264,2202,2202,0,6.279945242984257
D,D2,34824,1320,240,1560,1560,0,4.4490075290896645
D,D3,34896,1320,168,1488,1488,0,4.243668720054757
E,E1,34296,420,768,1188,1188,0,3.3880903490759753
E,E2,35016,365,48,413,413,0,1.177846224047456
E,E3,33576,473,1488,1961,1961,0,5.592630618297969
E,E4,35040,408,24,432,432,0,1.2320328542094456
E,E5,33696,547,1368,1915,1915,0,5.4614419347478895
E,E6,32760,557,2304,2861,2861,0,8.159365731234315
E,E7,32640,484,2424,2908,2908,0,8.293406342687657
F,F1,33696,727,1368,2095,1760,335,5.974788957335159
F,F2,33720,571,1344,1915,1580,335,5.4614419347478895
G,G1,34944,1542,120,1662,1662,0,4.73990417522245
G,G2,34968,1745,96,1841,1841,0,5.250399269906457
G,G3,35016,935,48,983,983,0,2.8034451289071414
G,G4,34752,1563,312,1875,1875,0,5.347364818617385
H,H1,34584,1005,480,1485,1485,0,4.2351129363449695
H,H2,33720,1308,1344,2652,2652,0,7.563312799452429
H,H3,34584,811,480,1291,1291,0,3.6818389231120237
H,H4,34176,796,888,1684,1684,0,4.802646589094228
H,H5,34584,836,480,1316,1316,0,3.753137120693589
I,I1,34104,2234,960,3194,3182,12,9.109057723020761
I,I2,34080,1263,984,2247,2247,0,6.408281998631074
I,I3,34104,1090,960,2050,2050,0,5.846452201688341
I,I4,33792,1704,1272,2976,2969,7,8.487337440109513
I,I5,34104,866,960,1826,1826,0,5.207620351357518
J,J1,34728,1801,336,2137,2137,0,6.094569929272188
K,K1,34776,1297,288,1585,1585,0,4.520305726671229
K,K2,34776,1342,288,1630,1630,0,4.648642482318047
K,K3,34752,1340,312,1652,1652,0,4.711384896189824
L,L1,34968,558,96,654,654,0,1.865160848733744
L,L2,35016,721,48,769,769,0,2.1931325576089438
L,L3,35016,805,48,853,853,0,2.4326945014830024
L,L4,33624,614,1440,2054,1693,361,5.857859913301391
M,M1,35040,456,24,480,480,0,1.3689253935660506
M,M2,35040,416,24,440,440,0,1.2548482774355465
M,M3,35040,481,24,505,505,0,1.4402235911476158
M,M4,35040,516,24,540,540,0,1.540041067761807
M,M5,35040,647,24,671,671,0,1.9136436230892082
M,M6,35040,409,24,433,433,0,1.2348847821127082
M,M7,35040,484,24,508,508,0,1.4487793748574036
N,N1,35016,897,48,945,945,0,2.6950718685831623
N,N2,35016,892,48,940,940,0,2.680812229066849
N,N3,35016,722,48,770,770,0,2.195984485512206
N,N4,33672,894,1392,2286,1925,361,6.519507186858316
