column,lower_bound,upper_bound,outlier_count,outlier_percent,minimum,median,99th_percentile,maximum
age,-2.5,97.5,0,0.0,20.0,45.0,80.0,85.0
height,132.5,192.5,86,0.008675074091185116,130.0,160.0,180.0,190.0
weight,32.5,92.5,19221,1.9388790593798735,25.0,60.0,95.0,140.0
waistline,53.54999999999999,108.35,4417,0.4455558402414495,8.0,81.0,105.0,999.0
sight_left,-0.050000000000000044,1.95,11582,1.168310559582628,0.1,1.0,2.0,9.9
sight_right,-0.050000000000000044,1.95,10495,1.0586616579882302,0.1,1.0,2.0,9.9
SBP,83.5,159.5,15836,1.5974241082326452,67.0,120.0,161.0,273.0
DBP,52.0,100.0,13122,1.323654909587571,32.0,76.0,101.0,185.0
BLDS,62.5,130.5,64202,6.4762454279333355,25.0,96.0,204.0,852.0
tot_chole,94.0,294.0,11298,1.1396626404908075,30.0,193.0,296.0,2344.0
HDL_chole,16.0,96.0,13858,1.3978974041353875,1.0,55.0,99.0,8110.0
LDL_chole,20.0,204.0,10098,1.0186150950324104,1.0,111.0,203.0,5119.0
triglyceride,-56.0,288.0,54104,5.457630332900925,1.0,106.0,499.0,9490.0
hemoglobin,9.899999999999999,18.700000000000003,9760,0.984520036394962,1.0,14.3,17.5,25.0
serum_creatinine,0.2499999999999999,1.4500000000000002,8005,0.8074880011620564,0.1,0.8,1.4,98.0
SGOT_AST,5.5,41.5,67614,6.820423948853377,1.0,23.0,79.0,9999.0
SGOT_ALT,-6.0,50.0,72928,7.356462829324978,1.0,20.0,106.0,7210.0
gamma_GTP,-18.5,73.5,94142,9.496381687120339,1.0,23.0,232.0,999.0
