component,explained_variance_ratio,cumulative_explained_variance
PC1,0.5104967875293703,0.5104967875293703
PC2,0.009400633596449687,0.51989742112582
PC3,0.009398104159438505,0.5292955252852586
PC4,0.00939613365205948,0.5386916589373181
PC5,0.009392183628676597,0.5480838425659946
PC6,0.009382679471043038,0.5574665220370376
PC7,0.00938028007174089,0.5668468021087785
PC8,0.00937354732702213,0.5762203494358006
PC9,0.009372791293957463,0.5855931407297581
PC10,0.009368705099498076,0.5949618458292562
PC11,0.009359858340715527,0.6043217041699717
PC12,0.009352371782644338,0.613674075952616
PC13,0.0093473632011878,0.6230214391538038
PC14,0.00934375927876894,0.6323651984325728
PC15,0.009341920964251491,0.6417071193968242
PC16,0.009338178086420481,0.6510452974832447
PC17,0.009325361621409794,0.6603706591046545
PC18,0.009311561740009707,0.6696822208446642
PC19,0.00930029846691656,0.6789825193115808
PC20,0.009297467661433637,0.6882799869730145
PC21,0.009288601379345899,0.6975685883523605
PC22,0.009284273685412195,0.7068528620377726
PC23,0.009271651259049087,0.7161245132968217
PC24,0.00926543698379054,0.7253899502806123
PC25,0.009252120051862494,0.7346420703324748
PC26,0.009248206525571795,0.7438902768580465
PC27,0.009235787507790813,0.7531260643658374
PC28,0.009232441345637906,0.7623585057114753
PC29,0.009221649119680018,0.7715801548311554
PC30,0.009192466730802451,0.7807726215619578
PC31,0.009172481337905679,0.7899451028998635
PC32,0.00915322224465518,0.7990983251445187
PC33,0.009146396419843604,0.8082447215643623
PC34,0.009120894228116214,0.8173656157924786
PC35,0.009109846825597448,0.826475462618076
PC36,0.00908470274252456,0.8355601653606006
PC37,0.009079656126389384,0.84463982148699
PC38,0.00905761077239344,0.8536974322593834
PC39,0.009049578724530705,0.8627470109839142
PC40,0.00900435092299403,0.8717513619069082
PC41,0.00899982316664758,0.8807511850735558
PC42,0.008987330021851737,0.8897385150954075
PC43,0.008981612054339172,0.8987201271497467
PC44,0.008967436137524199,0.9076875632872708
PC45,0.008966735170178469,0.9166542984574493
PC46,0.008949866121919456,0.9256041645793688
PC47,0.008930133884077835,0.9345342984634466
PC48,0.008910140444861653,0.9434444389083082
PC49,0.008900765100395237,0.9523452040087035
PC50,0.00889163042195221,0.9612368344306557
PC51,0.008885862269988453,0.9701226967006441
PC52,0.008872716742645516,0.9789954134432897
PC53,0.008861689137551799,0.9878571025808415
PC54,0.008838610374253077,0.9966957129550945
PC55,0.0033042870448821916,0.9999999999999767
PC56,2.3468329292209267e-14,1.0000000000000002
