component,explained_variance_ratio,cumulative_explained_variance
PC1,0.16743980919058146,0.16743980919058146
PC2,0.09856857947732346,0.26600838866790494
PC3,0.06892068165126329,0.33492907031916824
PC4,0.06014286345179266,0.3950719337709609
PC5,0.054614377441974275,0.4496863112129352
PC6,0.04930402151089547,0.49899033272383064
PC7,0.039966643028278924,0.5389569757521095
PC8,0.03844198139223683,0.5773989571443464
PC9,0.03471434385783737,0.6121133010021838
PC10,0.03326431987208932,0.6453776208742731
PC11,0.031509619315941303,0.6768872401902144
PC12,0.030824888177686104,0.7077121283679005
PC13,0.030444347993962624,0.7381564763618632
PC14,0.030331459012990298,0.7684879353748535
PC15,0.028127144662411476,0.796615080037265
PC16,0.02762726199102989,0.8242423420282949
PC17,0.025469301325129916,0.8497116433534249
PC18,0.024485354320492828,0.8741969976739177
PC19,0.02214689356213107,0.8963438912360487
PC20,0.02103585191250788,0.9173797431485566
PC21,0.019419338248119,0.9367990813966757
PC22,0.01739904985863534,0.954198131255311
PC23,0.01334014505723013,0.9675382763125412
PC24,0.010146820055261487,0.9776850963678027
PC25,0.008075946625421587,0.9857610429932242
PC26,0.007208082117752406,0.9929691251109766
PC27,0.005025198802167516,0.9979943239131441
PC28,0.002005676086187445,0.9999999999993315
PC29,3.657387154151545e-13,0.9999999999996972
PC30,3.0300089659562943e-13,1.0000000000000002
PC31,8.020067810796172e-18,1.0000000000000002
PC32,5.433306077887219e-18,1.0000000000000002
PC33,3.728052209291588e-18,1.0000000000000002
